title,text,subject,date,fake
UPDATE ON 9/11 MEMORIAL Banned for “Triggering” College Snowflakes,"Great news! Southern Methodist University in Texas has reversed its decision to relocate an annual 9/11 memorial display made up of nearly 3,000 American flags to a less prominent part of campus after facing backlash from student groups.A huge thank you to The Young Americans for Freedom group! They had a hand in making this happen! They also were the ones who had set up the tribute honoring the victims of the September 11, 2001, terrorist attacks on SMU s Dallas Hall Lawn every year since 2010.But in July officials informed the group to move the display to Morrison-McGinnis Park because Dallas Hall Lawn is used for classes and a variety of events, said university spokesman Kent Best.SMU officials also had adopted a policy to ensure displays didn t include  harmful or triggering  messages, but they later removed the language from the then-policy as inappropriate. By that time, though, some student groups said the new policy was an attack on free speech. I don t believe it s the responsibility of the university to shield individuals from certain ideas that they might be offended by,  said Grant Wolf, the leader of the Young Americans for Freedom group, according to Dallas News. Wolf, along with other leaders from campus groups, sent a letter to university President R. Gerald Turner to express their frustration with the policy.  People absolutely have to have a right to their own opinions, but this does not come with a right to be shielded from opposing ideas, especially in an environment dedicated to the learning, sharing and developing of new ideas,  they wrote.They decried the relocation of the memorial. Moving the 9/11 memorial to an out of the way park is almost the same as not allowing it, said Heather Hall, president of the university s Turning Point USA chapter.  That s not free speech,  Hall said.  That s not American. That s definitely not what SMU stands for.   Read more:  Daily MailOUR PREVIOUS REPORT ON THIS BAN: The shocker about this is that students on both sides of the political spectrum want the 9/11 flags to be displayed where they ve always been displayed. The inability of college campuses to stand up to people who are perpetually offended is a sad statement on where we are in American tolerance these days. It s so ironic that the left wants you to march to their drum beat or else they will destroy you. Note to SMU: You had a good thing going with your student body coming together to memorialize 9/11 so let it continue!DALLAS, Tex.   In a time of extreme political divide, students both Republican and Democrat at one Texas college have found something they can agree on.For the past two years at Southern Methodist University, a campus group has planted thousands of American flags in front of Dallas Hall as a memorial to the victims of the 9/11 attacks. That s simply contradictory to the very definition of free speech,  said Grant Wolf, the Young Americans for Freedom Chairman.But in July, SMU changed its policy, saying student groups can no longer have displays there.The lawn has historically hosted tributes and protests from students of all political affiliations. The leaders of two prominent student groups say the policy violates their right to free speech. They re basically cornering us into a segment of campus and saying you re not allowed to have a display here because it s triggering, harmful or offensive to students over there,  said Drew Wicker, the President of SMU College Republicans.SMU released a statement saying nearby Momac Park, where displays will be allowed, is larger than the lawn and is along one of the most prominent drives on campus.The university said it  respects the rights of all campus community members to express their opinions, as well as their right to be free from coercion or harassment. Via: Fox 5 Atlanta",left-news,"Aug 10, 2017",1
"As Russia probe grinds on, Trump struggles to gain traction on agenda","WASHINGTON (Reuters) - The investigation into alleged ties between President Donald Trump’s election campaign and Russia is threatening to dampen already flagging momentum for the president’s legislative agenda of rolling back Obamacare and overhauling the tax code.  With the Senate convening on Monday and the House of Representatives on Tuesday for a legislative sprint leading up to an August recess, the spotlight is on James Comey, the FBI director fired by Trump on May 9. Comey, who will appear before the Senate Intelligence Committee on Thursday, will be grilled on whether Trump tried to get him to back off an investigation into alleged ties between the president’s 2016 campaign and Russia. Trump, a Republican, has called the Russia probe a “witch hunt” designed to undermine the legitimacy of his electoral win. The Russia matter presents a double-barreled threat to congressional Republicans: It could impede healthcare and tax initiatives that already were languishing and it could hurt efforts to hold onto their majorities in the House and Senate in 2018 midterm elections. “It’s an enormous distraction and it creates uncertainty,” said veteran Republican Representative Tom Cole in a telephone interview. “It casts a pall over the political system and slows things down. You don’t want to slow things down when you have all three levers of power,” Cole said, referring to the White House, Senate and House. The day before Comey’s scheduled testimony, top U.S. intelligence officials are set to appear before the same panel to discuss renewal of the Foreign Intelligence Surveillance Act, or FISA, which allows the government to collect communications of foreigners thought to be living overseas whose communications pass through American phone or internet providers. But senators are likely to also wade into the Russia affair. [nL1N1IZ0VV] Lawmakers must also come up with a plan to raise the country’s debt limit. Treasury Secretary Steven Mnuchin is clamoring for Congress to quickly approve more borrowing authority as the incoming stream of tax revenues slows. Republican fiscal conservatives routinely demand budget cuts and other concessions as a price for raising the debt limit, setting up a likely fight. [nL1N1IZ13F] Amid all this, Trump and his fellow Republicans in Congress hope the new work session, following a week-long Memorial Day break, will be a chance to ‘reset’ the conversation in Washington that has centered on Russia and their failures so far on healthcare and tax legislation. House Republicans hope this week to pass a repeal of portions of the 2010 Dodd-Frank financial reform law. But that bill will face resistance in the Senate, where Democrats are expected to use procedural tactics to kill it. Even so, House Republicans hope passage of ‘low-hanging fruit’ bills like this will allow them to argue that they have racked up accomplishments when they go home to their districts in August. Meanwhile, the Senate is struggling to craft legislation repealing and replacing Obamacare, former President Barack Obama’s landmark law that expanded health insurance coverage to millions and placed new controls on insurers. Senate Majority Leader Mitch McConnell, in a May 24 interview with Reuters said, “I don’t know how we get to 50 (votes) at the moment” but pledged to forge ahead. Senators this week are expected to be presented with  options for a new healthcare program they hope will be more acceptable to voters than one passed by the House. [nBER4WKzcM] Failure to agree on a formula by early July could doom the push to kill Obamacare, which has been a Republican vow since it became law in 2010. Congress is already months behind in writing a budget blueprint that would guide federal spending in the fiscal year beginning Oct. 1. Republicans are deeply divided over the level of defense spending and potential structural reforms to social welfare programs such as Social Security, Medicare and Medicaid. If that is not enough, House Republicans are promising to streamline the antiquated tax code and reduce rates. Democrats and some experts outside of Congress argue their approach would largely help the wealthy while ballooning the nation’s debt. ",politicsNews,"June 5, 2017 ",0
Rubio says tax bill likely to include expanded child credit,"WASHINGTON (Reuters) - U.S. Republican Senator Marco Rubio said on Wednesday that tax legislation is likely to include an expanded child tax credit, adding that any reform without such a change would not truly provide relief for the middle class. “My sense is it will be in the underlying bill,” Rubio told reporters, adding that he would try to ensure that the credit could be refunded against payroll taxes, not just federal income taxes. “It looks like it’s settling back to about $2,000 and that’s about as low as we can go.” ",politicsNews,"October 25, 2017 ",0
Escape from North Korea: video shows defector under fire,"SEOUL (Reuters) - A North Korean border guard briefly crossed the border with the South in the chase for a defector last week - a violation of the ceasefire accord between North and South, a video released on Wednesday by the U.N. Command (UNC) in Seoul showed. The North Koreans were only steps behind the young man when they shot him at least four times as he made his escape on Nov. 13. The video, filmed as the defector drove an army truck through the demilitarized zone and then abandoned the vehicle, gives a dramatic insight into his escape.   The defector, identified by a surgeon as a 24-year-old with the family name Oh, was flown by a U.S. military helicopter to a hospital in Suwon, south of Seoul. Doctors said he had regained consciousness, having had two operations to extract the bullets, and his breathing was stable and unassisted.   He is fine,  lead surgeon Lee Cook-Jong said at a news conference in Suwon.  He is not going to die.  A UNC official said North Korea had been informed on Wednesday that it had violated the 1953 armistice agreement, which marked the cessation of hostilities in the Korean War. The UNC official told a news conference that a soldier from the North Korean People s Army (KPA) had crossed the Military Demarcation Line (MDL), the border between the two Koreas, for a few seconds as others fired shots at the defecting soldier.  The key findings of the special investigation team are that the KPA violated the armistice agreement by one, firing weapons across the MDL, and two, by actually crossing the MDL temporarily,  Chad Carroll, Director of Public Affairs for the UNC, told reporters.  The incident comes at a time of heightened tensions between North Korea and the international community over its nuclear weapons program, but Pyongyang has not publicly responded to the defection. The video, released by the UNC, was produced from surveillance cameras on the southern side of the the Joint Security Area (JSA) inside the demilitarized zone. When tree cover is too dense to see the wounded defector crawling across the border, it switches to infra-red. The film begins with a lone dark green army jeep speeding along empty, tree-lined roads toward the border. At one checkpoint, a North Korean guard marches impassively toward the approaching vehicle. It races by. He runs in pursuit. After passing a memorial to North Korea founder Kim Il Sung, where tourists often gather, the jeep runs into a ditch just meters from the border, which is not clearly marked. For several minutes the driver tries to free the vehicle, but the wheels spin uselessly in fallen leaves. The driver abandons the vehicle and sprints away, pushing tree branches out of his way and sending leaves flying. He scrambles up a slope to cross just seconds before more guards appear, shooting as they run.  One slides into a pile of dead leaves to open fire before running forward and appearing to briefly cross the dividing line between the two countries. He quickly turns on his heel. The video does not show the moment the defector is hit, but he is seen lying in a pile of brush next to a concrete wall in a later edited clip.  The UNC s Carroll said the position was still exposed to North Korean checkpoints across the border. Allied troops operating the cameras had by then notified their commanders and a quick reaction force had assembled on the South Korean side, according to Carroll. The video does not show this force. Infrared imagery shows two South Korean soldiers crawling through undergrowth to drag the wounded North Korean to safety, while the deputy commander of the border security unit oversees the rescue from a few meters away. Doctors have conducted a series of surgeries to remove four bullets from the critically wounded soldier, who arrived at the hospital having lost a large amount of blood.  From a medical point of view he was almost dead when he was first brought here,  said the surgeon, Lee. Hospital officials said the man remains in intensive care. The soldier showed signs of depression and possible trauma, in addition to a serious case of parasites that has complicated his treatment, the hospital said in a statement. Lee said last week one of the flesh-colored parasites he removed from the soldier s digestive tract was 27 cm (10.6 in) long. Continuing stress made the soldier hesitant to talk, but he had been cooperative, doctors said. The patient first recovered consciousness on Sunday, and asked where he was in South Korea, Lee said. He was in  agony  when he came to, the surgeon added. Since then doctors have played South Korean pop music for him, and American action movies including  The Transporter   from 2002. On average more than 1,000 North Koreans defect to the South every year, but most travel via China and numbers have fallen since Kim Jong Un came to power in 2011. It is unusual for a North Korean to cross the land border dividing the two Koreas. They  have been in a technical state of war since their 1950-53 conflict ended in a truce, not a peace treaty. The last time a North Korean soldier had defected across the JSA was in 2007. ",worldnews,"November 22, 2017 ",0
"U.N. panel calls on North Korea to end torture, child labor","GENEVA (Reuters) - A United Nations human rights panel said on Wednesday it had credible allegations that North Korean authorities had tortured or mistreated children forced to return from abroad or held in detention. It also called on Pyongyang to halt child labor in farming, mining and construction, as well as discrimination against youth for the  crimes  of their parents. The U.N. Committee on the Rights of the Child, which reviewed Pyongyang s record last month, voiced deep concern at what it called the  ideological indoctrination  in its education system and malnutrition among North Korean children.  We do have reports which are credible that children are at least to a certain extent tortured or exposed to violent treatment by the authorities in various circumstances,  panel member Kirsten Sandberg told a news briefing.   This might be when they return to the country after having tried to stay abroad and then are being forcibly returned. It happens on the border, we ve heard reports about violent treatment,  she said. This involved mainly North Korean children returning from China, Sandberg said, adding:  We also have reports of pregnant mothers coming back or being forcibly returned who are not to allowed to keep their babies.   We also have reports of violence against children in detention,  she said. Tensions in the region and beyond, especially with the United States, have risen considerably in recent months as North Korea conducted a series of tests of its medium- and long-range ballistic missiles, some of which flew over Japan, as well as its sixth nuclear test on Sept. 3.  The U.N. panel, in a session on Sept. 21, asked the North Korean delegation how  songbun , a system ranking citizens based on family loyalty to the ruling dynasty, affected children s access to education, health and food. The North Korean delegation replied that this was an  imaginary concept  invented by hostile forces. In its findings, the U.N. panel said it had  reports of discrimination against students based on their social status and political views of their parents .  North Korea has a  serious nutrition problem , Sandberg said.  There is still an over 40 percent rate of under-nourishment. This also a serious underlying cause for child mortality, also mortality of their mothers.  And children under five years continue to suffer from high rates of stunting and wasting,  she said. Children are told to  volunteer extensive periods of their day to work on farms and mines, collect wood in the forests, repair railroads, clean statues and participate in forestation initiatives and construction projects,  the U.N. panel said, noting these were referred to as  economic assignments . The watchdog, composed of 18 independent experts, also called on North Korea to allow children freedom of expression, including access to the Internet. North Korea told the U.N. panel last month that international sanctions imposed on it over its nuclear and ballistic missile programs would endanger the survival of North Korean children. There was no immediate reaction from Pyongyang to the findings, but a North Korean diplomat in Geneva told Reuters just before they were released:  We are committed to dialogue . ",worldnews,"October 4, 2017 ",0
 Republicans Just Made A Decision That Probably Means They’ve Given Up On The Election,"Faced with the prospect of campaigning with Donald Trump at the top of the Republican presidential ticket, the Republican National Committee appears ready to do something unprecedented eight months before the first ballot is cast and give up on the election.The Republican National Committee is scaling back its financial commitments to some of the most hotly contested states because of flagging fund-raising, the most concrete evidence yet of how the party s divisive and protracted presidential race is threatening the party s entire ticket in November.Sean Spicer, the RNC s head strategist, admitted to the New York Times that the party was not yet ready to have field organizers in place in key swing states like Florida and Ohio because the money isn t there yet, thanks to the contentious presidential contest.Even stranger, the Republicans are setting up a fund so that the party s wealthiest supporters can direct funds towards Senate and House races, instead of the marquee presidential matchup.Just as revealing, the party is also taking steps to create a separate fund-raising entity dedicated to Senate races, an acknowledgment that many of the wealthiest contributors are increasingly focused on protecting Republican control of Congress rather than on a presidential campaign they fear is lost.It is becoming apparent that those candidates are in trouble, thanks to Trump s series of toxic comments about Latinos, Muslims, blacks, and women. Already high profile Republicans like Senator John McCain have announced that they would not be attending the convention, usually the political destination of record for both parties in election years. Former Florida governor Jeb Bush and the previous Republican nominee, Mitt Romney, both also said they would be skipping the convention as well.Polling shows that Donald Trump is the most disliked person to ever head the ticket of a major party, and in head to head polling he loses by double digits to Hillary Clinton. Trump performs so poorly that traditionally hardcore Republican states like Mississippi and Utah are within striking distance for Clinton. And in states that are part of President Obama s winning coalitions in 2012 and 2008, Trump is way behind.The Republican Establishment has already announced it plans to challenge Trump s bid to be the nominee, but it may already be too late. The election may already be lost.Featured image via Flickr",News,"April 21, 2016",1
 BUSTED: Trump Supporter Used Poll Watcher Credentials To Force Early Voters To Leave Polling Place,"Clearly, there is no low Trump supporters won t stoop in the effort to get him elected president.Ever since the Republican nominee told his deplorable supporters that the election is  rigged  and that they should become poll watchers there has been multiple incidents of voter intimidation, voter suppression, and voter fraud by Trump supporters and even an act of violence against a polling place.And another Trump supporter just got caught trying to intimidate early voters into leaving an Arkansas polling place.Thus far, early voting has benefited Hillary Clinton and that s a big deal with only four days left until Election Day. So Jefferson County Election Commission Stu Soffer, who is a Trump supporter, used his poll watcher credentials and stood in a doorway to yell at early voters at the Pine Bluff polling location to leave. Shut up and go home,  Soffer yelled while blocking the entrance to the voting booths according to Jefferson County Clerk Patricia Johnson and a voter named Victor who did not get to cast his ballot because of Soffer s interference. As a result of the disruption and confusion caused by Stu Soffer and other Republicans   I was not able to cast my ballot that day,  Victor said.According to attorney Chris Burke, who represents Victor in the lawsuit filed against Soffer,  Mr. Soffer stood in the doorway of the early-voting location and told voters to shut up and go home. As a result, Victor and many other voters were unable to cast their votes that day. This is deeply troubling to the voters of Jefferson County and also to the election administrators whose job it is to administer the elections free of fear and intimidation,  Burke added.This is just the latest incident of a Trump supporter trying to rig the election for Donald Trump.In Green Bay, Wisconsin a city clerk tried to deny a request for an extra polling place near the local university solely on the grounds that she believes college students are more likely to vote for Democrats.In Iowa, a Trump supporter literally got caught trying to vote twice and was arrested.And a right-wing group is creating fake badges so they can infiltrate polling places in order to intimidate voters on Election Day for Trump.These incidents, including this recent one in Arkansas prove that Trump supporters are trying to rig the election for their candidate and it s only going to get worse in the days ahead, especially on Election Day as conservatives desperately try to secure a victory for the Republican nominee by hook or by crook.Featured Image: Facebook",News,"November 4, 2016",1
YOU WON’T BELIEVE THIS: WATCH DONNA BRAZILE Defend Her Decision to Cheat by Leaking Questions to Hillary [Video]," Well, first of all, I didn t have my hands in the cookie jar. I m an operative, I m a strategist, and part of what my role was, in addition to being a  political pundit,  was to help advance the cause of justice and equality https://www.youtube.com/watch?v=UrCEUL19-cM",left-news,"Mar 17, 2017",1
 Case Regarding Cruz’s Birthright Citizenship Reaches Supreme Court,"One of the biggest mysteries in Constitutional Law is what the Framers meant when they said  natural born citizen.  Section 1 of Article Two of the United States Constitution states the eligibility requirements for serving as president of the United States, and under clause 5 one would find the  natural born  requirement:No Person except a natural born Citizen, or a Citizen of the United States, at the time of the Adoption of this Constitution, shall be eligible to the Office of President; neither shall any Person be eligible to that Office who shall not have attained to the Age of thirty-five Years, and been fourteen Years a Resident within the United States.The Supreme Court will have the option to take up the case, if it so chooses, now that the lawsuit challenging Ted Cruz s eligibility to be President has been filed.Retired Utah lawyer Walter Wagner has led the  birther  movement against Ted Cruz, filing multiple lawsuits in federal court to block the Texas Republican from seeking the nomination. Wagner lost his case in Utah District Court, with Judge Jill Parrish writing:Nowhere does Mr. Wagner allege how he will be injured in a personal and individual way.All cases must show that the individual bringing the lawsuit has suffered, is suffering, or will suffer an injury personal to them, and that their rights have been violated. Wagner contends that he does have a vested interest, saying it s his job at  insuring that all candidates for the position of president are legally qualified.  Basically, he s a taxpayer and an American citizen, so he has a particular interest in who the president is.After being smacked down in Utah, Wagner appealed to the Tenth Circuit Court of Appeals in Denver and subsequently the U.S.  Supreme Court.Hopefully the Justices see fit to end this ridiculous talking point, seeing as though Trump will most likely emerge as the nominee. Also, establishing sound Constitutional decision to this long mysterious issue. Featured image via Mark Wilson/Getty",News,"April 9, 2016",1
U.S. 'not taking sides' in Iraqi-Kurdish dispute: Trump,"WASHINGTON (Reuters) - The United States sought on Monday to avoid openly taking sides in an Iraqi-Kurdish dispute, as Iraq s capture of the Kurdish-held city of Kirkuk raised the risk of an open conflict between U.S. allies in the fight against Islamic State. U.S. President Donald Trump expressed disappointment the two sides were fighting.  We don t like the fact that they re clashing. We re not taking sides,  Trump told reporters at the White House.   We ve had for many years a very good relationship with the Kurds as you know and we ve also been on the side of Iraq, even though we should have never been there in the first place. We should never have been there. But we re not taking sides in that battle.  Iraqi government forces captured the major Kurdish-held oil city of Kirkuk on Monday, responding to a Kurdish referendum on independence with a bold lightning strike that transforms the balance of power in the country. A convoy of armored vehicles from Iraq s elite U.S.-trained Counter-Terrorism Force seized Kirkuk s provincial government headquarters on Monday afternoon, less than a day after the operation began, a Reuters reporter in Kirkuk said. Senator John McCain, the influential chairman of the Senate Armed Services Committee, warned Iraq s government of  severe consequences  over any further misuse of U.S.-provided weaponry against Kurdish forces. Pentagon spokesman Colonel Robert Manning declined to speculate on whether the United States might cut off military aid and training to Iraqi forces in the event a major conflict, saying:  I m not going to speculate on that but I will tell you that we re looking at all options for planning considerations ... We encourage dialogue.  ",worldnews,"October 16, 2017 ",0
"U.N. rebukes Philippines president Duterte, Burundi officials for threats","GENEVA (Reuters) - The United Nations human rights office on Tuesday condemned attacks and threats made against its investigators by Philippines President Rodrigo Duterte and by senior Burundian officials.  Last week Mr Duterte threatened to slap (U.N. special rapporteur Agnes) Callamard if she investigates him for alleged extrajudicial killings,  U.N. human rights spokesman Rupert Colville told a news briefing.  He made the same threat against her in June after she criticized his  war on drugs  campaign which has left thousands dead,  he added, referring to remarks made after her visit in May in an unofficial capacity to attend an academic conference. The Philippine Supreme Court on Tuesday began hearing arguments in a petition to declare Duterte s deadly war on drugs, denounced by rights groups across the world, as unconstitutional. More than 3,900 Filipinos have been killed in what the police called self-defense after armed drugs suspects resisted arrest in the 16 month-long campaign. Critics say executions are taking place with zero accountability, allegations the police reject. Callamard, U.N. special rapporteur on extrajudicial killings, is an independent expert reporting to the U.N. Human Rights Council. Her planned visit to the Philippines last December was called off because she refused to accept Duterte s conditions. Recently she has also been subjected to a  tirade of online abuse, including physical threats, during what appears to be a prolonged and well-orchestrated trolling operation across the internet and on social media , Colville said.   We condemn this treatment of Ms Callamard and the disrespect it shows to the Human Rights Council that appointed her in the strongest terms,  he added.  On Burundi, the U.N. rights office has written to the Bujumbura government to demand that officials stop  threatening with prosecution  members of a U.N. Commission of Inquiry that found Burundian officials at the highest level should be held accountable for crimes against humanity, Colville said. Burundi s ambassador in New York told the U.N. General Assembly that the inquiry s report was biased and politically motivated and threatened to  bring to justice  its authors for defamation and attempted detribalization, he said. Burundi is an elected member of the 47-member Human Rights Council, the main U.N. rights forum.  All states should cooperate with mandates established by the Council. None of them are established without good cause,  Colville said. ",worldnews,"November 21, 2017 ",0
HOW GORSUCH Will Have Immediate Effect On Historic 2nd Amendment Decision And These Significant Controversial Cases,"Neil M. Gorsuch joins the Supreme Court just in time to cast potentially significant votes in cases that pit religious liberty against gay rights, test limits on funding for church schools and challenge California s restrictions on carrying a concealed gun in public.Such issues arise either in appeals filed by conservative groups that have been pending before the justices for weeks or in cases to be heard later this month.Gorsuch s votes in those matters may give an early sign of whether the court s conservatives   with their 5-4 majority restored by his confirmation   will pursue an activist agenda.The cases include a Colorado baker s claim that he deserves a faith-based exemption from the state s anti-discrimination law after he refused to design a wedding cake for a gay couple. The justices have been considering his appeal behind closed doors since December, but have taken no action.  LA TimesA Second Amendment controversy arising from California, would be the biggest gun-rights decision in several years, should the justices agree to hear it.In D.C. v. Heller and McDonald v. Chicago, the Court ruled that the Constitution protects the right to keep functional firearms in the home for self-defense, and that state and local governments cannot infringe upon said right. The challenge now pending before the Court, Peruta v. California, involves the right to carry a firearm outside the home for self-defense.The 9th U.S. Circuit Court of Appeals issued a ruling in 2016 affording county governments in California significant leeway in the issuance of concealed carry permits. Some permit regimes in the state are fairly accommodating of applicants, while others make it functionally impossible to obtain a concealed carry license. A group of Second Amendment applicants challenged the 9th Circuit s decision.Should the justices take the case and side with the activists, they could announce a constitutionally-protected right to bear firearms outside the home for the first time in American history.Via: Daily Caller",left-news,"Apr 9, 2017",1
"MI BOARD OF EDUCATION Will Allow Students To Choose Gender, Bathroom, Locker Room And Even A New Name With No Parental Consent","Every parent in the United States of America should be alarmed by this covert attempt by Board of Education members to essentially tell our kids that their power supersedes that of the parents. Furthermore, this reckless policy of placing same sex kids in bathrooms and locker rooms puts children in danger of being in private spaces with sexual predators and or sexual offenders Make sure to add your comments to the MI Board of Educations HEREMichigan s State Board of Education has drafted a guidance that would push the state s schools to allow all students, regardless of parental or doctoral input, to choose their gender, name, pronouns, and bathrooms.Spearheaded by board president John C. Austin and signed by state superintendent Brian Whiston, the guidance informs Michigan public schools that only the students themselves i.e. not their parents or doctors can determine what their individual gender identities are. The responsibility for determining a student s gender identity rests with the student. Outside confirmation from medical or mental health professionals, or documentation of legal changes, is not needed,  the guidance states.Gender identity is defined in the guidance as  a person s deeply held internal sense or psychological knowledge of their own gender, regardless of the biological sex they were assigned at birth. Notably, the guidance makes no mention of a student s age affecting whether or not they can pick a gender without their parent or doctor.In fact, the guidance seems to intentionally cut parents out of the process.The guidance states:  School staff should address students by their chosen name and pronouns that correspond to their gender identity, regardless of whether there has been a legal name change. Students can even ask to have their chosen name and gender  included in the district s information management systems, in addition to the student s legal name. But what about when school staff members are speaking with parents about their son or daughter?The guidance states that  Transgender and GNC [gender nonconforming] students have the right to decide when, with whom, and to what extent to share private information. Accordingly, the board makes clear,  When contacting the parent/guardian of a transgender or GNC student, school staff should use the student s legal name and the pronoun corresponding to the student s assigned sex at birth, unless the student or parent/guardian has specified otherwise. In other words, a boy named  Jake  could become a girl named  Jane  at school, seemingly without his parents ever knowing.Names, pronouns, and genders aren t the only things the board wants students to choose.The guidance informs schools that  Students should be allowed to use the restroom in accordance with their gender identity. And the board makes clear that single-stall bathrooms are not inclusive enough:  Alternative and non-stigmatizing options, such as an all-gender or singleuser restroom (e.g., staff bathroom or nurse s office), should be made available to students who request them, but not presented as the only option. Locker rooms also should become inclusive of students  many gender identities.  A student should not be required to use a locker room that is incongruent with their gender identity,  the guidance states.  Locker room usage should be determined on a case-by-case basis, using the guiding principles of safety and honoring the student s gender identity and expression. Students who are bothered by having members of the opposite sex in their locker rooms can request  an adjusted changing schedule  or  use of a private area in the facility. The board quietly issued the statement and guidance on February 23rd, without a press release. The public has only until April 11th to comment on the proposed guidance, according to the Department of Education website. The board will finalize the guidance at a meeting on May 10th. Via: Daily Caller ",left-news,"Mar 22, 2016",1
"""The people have spoken,"" says Zimbabwe's new leader","HARARE (Reuters) - Zimbabwe s new leader Emmerson Mnangagwa told a cheering crowd in Harare on Wednesday that the country was entering a new stage of democracy following Robert Mugabe s removal as president after nearly four decades in power. Mnangagwa returned to the country earlier in the day, having fled for his safety when the 93-year-old former leader sacked him as vice president two weeks ago to smooth a path to the succession for his much younger wife Grace.   The people have spoken. The voice of the people is the voice of God,  Mnangagwa told thousands of supporters gathered outside the ruling ZANU-PF party s offices in the capital.  Today we are witnessing the beginning of a new and unfolding democracy.  Zimbabwe was once one of Africa s most promising economies but suffered decades of decline as Mugabe pursued policies that included the violent seizure of white-owned commercial farms and money-printing that led to hyperinflation.  Most of its 16 million people remain poor and face currency shortages and sky-high unemployment, something Mnangagwa promised to address.   We want to grow our economy, we want peace in our country, we want jobs, jobs, jobs,  he told the crowd, adding:  The will of the people will always, always succeed.   Mnangagwa s dismissal was the trigger for the army and former political allies to move against Mugabe, feted as an independence hero when Zimbabwe broke with former colonial power Britain in 1980 but later feared as a despot. He resigned as president on Tuesday as parliament began an impeachment process, after resisting pressure to do so for a week. People danced in the streets following his downfall, some brandishing posters of Mnangagwa and army chief General Constantino Chiwenga, who led the takeover. Parliamentary speaker Jacob Mudenda said on Wednesday that Mnangagwa would be sworn in as president on Friday after being nominated by ZANU-PF to fill the vacancy left by Mugabe. The demise of Mugabe leaves Zimbabwe in a different situation to a number of other African countries where veteran leaders have been toppled in popular uprisings or through elections. The army appears to have engineered a trouble-free path to power for Mnangagwa, who was for decades a faithful lieutenant of Mugabe and member of his elite. He was also in charge of internal security when rights groups say 20,000 civilians were killed in the 1980s.  Mugabe has gone but I don t see Mnangagwa doing anything different from that old man. This is not the change I expected but let us give him time,  said security guard Edgar Mapuranga, who sat by a bank cash machine that was out of money. Restoring the country s fortunes and international standing will be a challenge. Alleged human rights abuses and flawed elections prompted many Western countries to impose sanctions in the early 2000s that further hurt the economy, even with Chinese investment to soften the blow. Staging clean elections next year will be key to winning fresh funds. Although Mnangagwa is almost certain to win any vote, German Chancellor Angela Merkel s personal representative for Africa, Guenther Nooke, said it would be a victory for Zimbabwe s  old elites  with the help of China.   He will manage to get elected using fear or many tricks, and then we ll have a succession from one tyrant to the next,  Nooke told broadcaster SWR2. China s foreign ministry said on Wednesday it respected Mugabe s decision to resign. In London, Prime Minister Theresa May said Britain wanted Zimbabwe to rejoin the international community now that Mugabe has resigned. Mnangagwa met neighboring South Africa s President Jacob Zuma before his return on Wednesday. Mugabe is one of the last of a generation of African leaders who led their countries to independence and then ruled, among them Ghana s Kwame Nkrumah, Jomo Kenyatta in Kenya, Felix Houphouet-Boigny in Ivory Coast and South Africa s Nelson Mandela. The African Union said he would be remembered  as a fearless pan-Africanist liberation fighter and the father of the independent Zimbabwean nation  and that his decision to step down would enhance his legacy.     But he also stifled democracy en route to winning a series of elections. His government is accused by the opposition and human rights groups of persecuting and killing opponents. The forced takeover of white-owned farms from around 2000 aimed to bolster his popular support but crippled foreign exchange earnings from agriculture. Mnangagwa s human rights record also stirs hostility in many Zimbabweans.  The dark past is not going to disappear. They will be following him around like a piece of chewing gum on his shoe,  International Crisis Group s southern Africa senior consultant Piers Pigou said.  For him to really be seen to be doing the right thing, he s going to have to introduce policies that fundamentally undermine the power structures of ZANU-PF, through a shift to genuine political pluralism and a decoupling of the party and state.  ",worldnews,"November 22, 2017 ",0
Winning Democrat nomination needs voter coalition: Clinton campaign,"NEW YORK (Reuters) - The campaign of Democratic presidential hopeful Hillary Clinton on Wednesday called support from a broad coalition of voters - including people of color, women and union households - “critical” for anyone hoping to secure the party’s nomination for the November 2016 election and beyond. Robby Mook, Clinton’s campaign manager, noted support for the former secretary of state among African Americans, Latinos and Asian American Pacific Islanders, women and union households in a memo sent out by the campaign.  He also noted that Clinton won white voters in the nominating contests for several states on Super Tuesday, the previous day, in which Clinton won seven states to the four states captured by her rival, Vermont Senator Bernie Sanders. “It is also important to note that these constituencies are not only critical to winning the Democratic nomination but will also be central to how a Democrat wins in November, and a candidate that starts with a deep base of support will have an advantage in the general election,” Mook wrote.  (Reporting by Luciana Lopez) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",politicsNews,"March 2, 2016 ",0
WOW! WHAT JOHN KERRY JUST SAID PROVES HIS INABILITY TO BE OUR SECRETARY OF STATE,Unreal! Is he that out of it? It would appear so  ,politics,"Jul 28, 2015",1
